LATEST,SPEED,LOAD,MAP,IAT,RPM,DISTANCE,FUEL_USED,FUEL_CONSUMPTION,INSTANT_FUEL_CONSUMPTION,LATITUDE,LONGITUDE,ALTITUDE,HEADING,SPEED_GPS,TIME_GPS,X,Y,Z,AAT,AAP
1716019728349134000,11.0,54.90196078431373,76,33,1215.75,2812.7710272222,157.7062272007,5.335539953391481,10.924513364029297,46.761213071347186,23.49912312646601,423.4,283.83,11.829,08:08:48+00:00,3,7,126,13.949999999999989,101.8
1716019728590491000,11.0,54.90196078431373,76,33,1279.75,2813.5085069444,157.7716947058,5.335793196100947,11.947770983494399,46.761213071347186,23.49912312646601,423.4,283.83,11.829,08:08:48+00:00,-1,13,118,13.949999999999989,101.8
1716019728829898000,11.0,43.13725490196079,76,33,1279.75,2814.2400283333,157.8227178697,5.335947114689857,9.387534344,46.76121421663143,23.499123301882964,423.6,284.7,13.373,08:08:49+00:00,-7,4,127,13.949999999999989,101.8
1716019729100402000,12.0,43.13725490196079,76,33,1279.75,2815.1417083333,157.8803685229,5.336100191096848,8.605239822012111,46.76121421663143,23.499123301882964,423.6,284.7,13.373,08:08:49+00:00,-7,4,127,13.949999999999989,101.8
1716019729340131000,12.0,43.13725490196079,57,33,1279.75,2815.940805,157.9314603125,5.336235840156058,8.605239822012111,46.76121421663143,23.499123301882964,423.6,284.7,13.373,08:08:49+00:00,-3,13,104,13.949999999999989,101.8
1716019729580605000,12.0,43.13725490196079,57,33,1343.75,2816.742385,157.9868453262,5.336400792587822,9.299435302842655,46.76121421663143,23.499123301882964,423.6,284.7,13.373,08:08:49+00:00,-13,9,139,13.949999999999989,101.8
1716019729819872000,12.0,29.411764705882355,57,33,1343.75,2817.5399416667,158.0244182959,5.336442373741388,6.340524070119992,46.76121421663143,23.499123301882964,423.6,284.7,13.373,08:08:49+00:00,-8,5,110,13.949999999999989,101.8
1716019730059943000,12.0,29.411764705882355,55,33,1343.75,2818.3401783333,158.0621175206,5.336484091157541,6.340524070119992,46.76121377302961,23.499123233938885,423.7,281.36,13.746,08:08:50+00:00,-7,8,128,13.949999999999989,101.8
1716019730329842000,12.0,29.411764705882355,55,33,1407.75,2819.2398416667,158.1076248349,5.336552817,6.8078874451806275,46.76121377302961,23.499123233938885,423.7,281.36,13.746,08:08:50+00:00,-4,6,123,13.949999999999989,101.8
1716019730569649000,12.0,29.411764705882355,55,33,1407.75,2820.0391983333,158.1480583767,5.3366138753571235,6.8078874451806275,46.76121377302961,23.499123233938885,423.7,281.36,13.746,08:08:50+00:00,-6,7,120,13.949999999999989,101.8
1716019730809361000,13.0,29.411764705882355,55,33,1407.75,2820.904825,158.1884759007,5.336656457071297,6.284203799579684,46.76121377302961,23.499123233938885,423.7,281.36,13.746,08:08:50+00:00,-6,10,124,13.949999999999989,101.8
1716019731050452000,13.0,29.411764705882355,56,33,1407.75,2821.7754313889,158.2291259361,5.336699279886966,6.284203799579684,46.761212039849276,23.49912296847709,423.9,279.96,13.772,08:08:51+00:00,-11,0,129,13.949999999999989,101.8
1716019731289698000,13.0,29.411764705882355,56,33,1343.75,2822.6393752778,158.2666956081,5.336722424280259,5.852791453093321,46.761212039849276,23.49912296847709,423.9,279.96,13.772,08:08:51+00:00,1,-7,123,13.949999999999989,101.8
1716019731530112000,13.0,17.647058823529413,56,33,1343.75,2823.5075369444,158.2893474605,5.336640183321201,3.511674871855993,46.761212039849276,23.49912296847709,423.9,279.96,13.772,08:08:51+00:00,-8,-1,120,13.949999999999989,101.8
1716019731769440000,13.0,17.647058823529413,56,33,1343.75,2824.3717769444,158.3118969898,5.336558321223113,3.511674871855993,46.761210353667664,23.499122710213832,424.1,279.15,11.906,08:08:52+00:00,-6,-1,124,13.949999999999989,101.8
1716019732010070000,13.0,17.647058823529413,31,33,1343.75,2825.2407186111,158.3118969898,5.336317648874157,0.0,46.761210353667664,23.499122710213832,424.1,279.15,11.906,08:08:52+00:00,-6,-1,122,13.949999999999989,101.8
1716019732250564000,13.0,17.647058823529413,31,33,1151.75,2826.1091691667,158.3118969898,5.336077134237825,0.0,46.761210353667664,23.499122710213832,424.1,279.15,11.906,08:08:52+00:00,0,-2,122,13.949999999999989,101.8
1716019732489956000,13.0,17.647058823529413,31,33,1151.75,2826.9736402778,158.3118969898,5.335837743226898,0.0,46.761210353667664,23.499122710213832,424.1,279.15,11.906,08:08:52+00:00,-6,0,117,13.949999999999989,101.8
1716019732730700000,11.0,17.647058823529413,31,33,1151.75,2827.7092469444,158.3118969898,5.335634054521636,0.0,46.761210353667664,23.499122710213832,424.1,279.15,11.906,08:08:52+00:00,-1,-3,122,13.949999999999989,101.8
1716019733000233000,11.0,17.647058823529413,44,33,1151.75,2828.53282,158.331327117,5.335541728685612,3.175299513409812,46.76120867346395,23.499122452866175,424.3,278.46,8.743,08:08:53+00:00,-2,-4,120,13.949999999999989,101.8
1716019733240759000,11.0,17.647058823529413,44,33,1023.75,2829.2677605556,158.3450054737,5.3354337797278255,2.5049144290449576,46.76120867346395,23.499122452866175,424.3,278.46,8.743,08:08:53+00:00,2,-4,122,13.949999999999989,101.8
1716019733479968000,11.0,18.823529411764707,44,33,1023.75,2829.9986769444,158.359515832,5.335332763402947,2.6719087243146213,46.76120867346395,23.499122452866175,424.3,278.46,8.743,08:08:53+00:00,1,-4,123,13.949999999999989,101.8
1716019733720372000,11.0,18.823529411764707,42,33,1023.75,2830.7332447222,158.3740986787,5.335231250157209,2.6719087243146213,46.76120867346395,23.499122452866175,424.3,278.46,8.743,08:08:53+00:00,-4,-2,121,13.949999999999989,101.8
1716019733961672000,11.0,18.823529411764707,42,33,1023.75,2831.4705502778,158.3887358765,5.335129366,2.6719087243146213,46.76120762423847,23.499122292162017,424.3,278.78,5.358,08:08:54+00:00,1,-4,123,13.949999999999989,101.8
1716019734230512000,11.0,18.823529411764707,42,33,1023.75,2832.2920058333,158.4050436438,5.335015863534789,2.6719087243146213,46.76120762423847,23.499122292162017,424.3,278.78,5.358,08:08:54+00:00,1,-3,122,13.949999999999989,101.8
1716019804567001000,12.0,18.823529411764707,39,36,2111.75,2845.8077897222,164.1322036167,5.371240757049606,7.8154449352325726,46.76119204602289,23.49911990613153,423.6,276.16,12.372,08:10:04+00:00,12,0,120,13.949999999999989,101.8
