TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Calculated engine load (%),IAT (Celsius),Throttle position (%)
1693757508.126294,2280.0,53,0.765,7.8125,29.411764705882355,36,17.647058823529413
1693757509.596467,2280.0,53,0.57,7.8125,31.372549019607845,36,17.647058823529413
1693757511.036394,2280.0,53,0.225,10.9375,31.372549019607845,36,17.647058823529413
1693757512.506663,2269.0,53,0.11,10.9375,31.372549019607845,36,17.647058823529413
1693757513.946586,2256.0,54,0.09,10.9375,32.94117647058824,35,18.43137254901961
1693757515.417004,2233.0,56,0.155,11.71875,36.47058823529412,35,20.0
1693757516.916976,2208.0,61,0.285,11.71875,36.47058823529412,35,19.607843137254903
1693757518.327332,2187.0,60,0.13,12.5,36.47058823529412,35,19.607843137254903
1693757519.766403,2196.0,60,0.13,12.5,36.47058823529412,35,19.607843137254903
1693757521.206461,2234.0,58,0.195,10.15625,31.372549019607845,35,18.03921568627451
1693757522.616601,2283.0,54,0.75,7.8125,31.372549019607845,35,18.03921568627451
1693757524.116597,2316.0,53,0.795,8.59375,31.372549019607845,35,18.43137254901961
1693757525.586698,2350.0,53,0.63,14.84375,26.666666666666668,35,16.47058823529412
1693757527.057881,2342.0,51,0.285,11.71875,26.666666666666668,35,16.47058823529412
1693757528.497281,2337.0,50,0.885,11.71875,17.647058823529413,35,14.901960784313726
1693757529.997136,2311.0,48,0.705,11.71875,27.84313725490196,35,16.862745098039216
1693757531.467044,2292.0,48,0.795,7.8125,18.823529411764707,35,8.627450980392158
1693757532.937112,2267.0,27,0.07,0.0,17.647058823529413,34,18.03921568627451
1693757534.43684,2220.0,58,0.085,8.59375,36.47058823529412,34,20.784313725490197
1693757535.907881,2235.0,65,0.825,11.71875,43.529411764705884,34,24.31372549019608
1693757537.347618,2267.0,74,0.215,15.625,49.80392156862745,34,25.098039215686278
1693757538.817032,2325.0,75,0.23,14.0625,52.156862745098046,34,25.88235294117647
1693757540.347332,2355.0,81,0.105,10.9375,45.490196078431374,34,26.666666666666668
1693757541.81693,2356.0,82,0.785,4.6875,49.80392156862745,35,28.23529411764706
1693757543.316971,2347.0,86,0.735,12.5,52.156862745098046,35,32.94117647058824
1693757544.817206,2338.0,89,0.745,-1.5625,57.64705882352941,36,34.90196078431373
1693757546.287589,2321.0,90,0.83,-2.34375,60.00000000000001,36,35.294117647058826
1693757547.727127,2299.0,90,0.535,1.5625,60.00000000000001,36,35.294117647058826
1693757549.168111,2288.0,90,0.085,-0.78125,60.00000000000001,36,35.294117647058826
1693757550.607391,2275.0,90,0.3,-2.34375,60.00000000000001,36,35.294117647058826
1693757552.047062,2249.0,90,0.79,-3.90625,60.00000000000001,37,35.294117647058826
1693757553.487043,2248.0,89,0.055,3.90625,65.49019607843138,37,18.43137254901961
1693757554.987252,2254.0,42,0.565,-7.03125,32.94117647058824,37,20.3921568627451
1693757556.427204,2239.0,63,0.575,0.0,41.96078431372549,37,22.35294117647059
1693757557.927131,2280.0,67,0.795,0.78125,43.529411764705884,36,22.35294117647059
1693757559.36774,2337.0,73,0.9,0.78125,40.0,36,22.35294117647059
1693757560.867597,2413.0,68,0.18,2.34375,40.0,36,22.35294117647059
1693757562.367177,2515.0,67,0.105,0.78125,38.43137254901961,36,22.35294117647059
1693757563.807943,2596.0,67,0.125,-0.78125,38.43137254901961,36,22.35294117647059
1693757565.277963,2672.0,60,0.83,-5.46875,17.647058823529413,36,13.725490196078432
1693757566.717229,2719.0,43,0.04,-4.6875,21.96078431372549,36,16.07843137254902
1693757568.157581,2693.0,47,0.6,-4.6875,25.098039215686278,36,16.862745098039216
1693757569.62757,2683.0,48,0.785,-3.125,26.666666666666668,36,16.862745098039216
1693757571.067547,2669.0,49,0.835,-0.78125,26.666666666666668,36,17.254901960784316
1693757572.507498,2645.0,38,0.895,-4.6875,17.647058823529413,36,8.627450980392158
1693757574.007521,2562.0,29,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757575.507528,2463.0,28,0.0,0.0,17.647058823529413,36,8.627450980392158
1693757577.007237,2349.0,27,0.0,1.5625,57.64705882352941,35,8.627450980392158
1693757578.477544,2777.0,30,0.0,0.0,17.647058823529413,35,8.627450980392158
1693757579.977697,2494.0,28,0.0,0.0,17.647058823529413,35,8.627450980392158
1693757581.509415,1947.0,29,0.0,0.0,17.647058823529413,35,8.627450980392158
1693757582.948142,1081.0,52,0.02,3.125,40.0,35,8.627450980392158
1693757584.448286,921.0,58,0.055,7.03125,31.372549019607845,35,8.627450980392158
1693757585.888214,1018.0,53,0.79,6.25,26.666666666666668,35,8.627450980392158
1693757587.328139,1077.0,49,0.815,4.6875,23.529411764705884,35,8.627450980392158
1693757588.797551,1025.0,49,0.09,6.25,23.529411764705884,35,8.627450980392158
1693757590.327857,1119.0,40,0.88,-2.34375,17.647058823529413,35,8.627450980392158
1693757591.799303,900.0,41,0.035,7.03125,17.647058823529413,35,8.627450980392158
1693757593.268989,943.0,38,0.86,-0.78125,18.823529411764707,35,8.627450980392158
1693757594.707987,906.0,39,0.08,8.59375,17.647058823529413,35,8.627450980392158
