TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Calculated engine load (%),IAT (Celsius),Throttle position (%)
1693759277.312064,996.0,45,0.87,0.0,20.784313725490197,37,8.627450980392158
1693759278.782001,975.0,46,0.08,3.125,20.784313725490197,37,8.627450980392158
1693759280.192376,989.0,42,0.83,-5.46875,20.784313725490197,37,8.627450980392158
1693759281.692198,917.0,43,0.045,0.78125,22.35294117647059,37,8.627450980392158
1693759283.162258,923.0,42,0.78,-3.90625,22.35294117647059,37,8.627450980392158
1693759284.633253,922.0,42,0.56,5.46875,20.784313725490197,37,8.627450980392158
1693759286.042755,927.0,42,0.565,-7.03125,22.35294117647059,37,8.627450980392158
1693759287.542854,922.0,42,0.87,-2.34375,20.784313725490197,37,8.627450980392158
1693759288.983042,908.0,42,0.06,-7.03125,22.35294117647059,37,8.627450980392158
1693759290.452166,946.0,43,0.88,-3.90625,18.823529411764707,37,8.627450980392158
1693759291.922366,921.0,42,0.11,-9.375,22.35294117647059,37,8.627450980392158
1693759293.421975,948.0,42,0.865,-7.03125,20.784313725490197,37,8.627450980392158
1693759294.892319,903.0,43,0.06,-3.90625,20.784313725490197,37,8.627450980392158
1693759296.332467,936.0,42,0.83,-11.71875,20.784313725490197,37,8.627450980392158
1693759297.745236,930.0,43,0.83,-0.78125,20.784313725490197,37,8.627450980392158
1693759299.215651,920.0,42,0.53,-8.59375,20.784313725490197,37,8.627450980392158
1693759300.715524,915.0,43,0.04,-1.5625,20.784313725490197,37,8.627450980392158
1693759302.183194,943.0,40,0.815,-3.90625,25.098039215686278,37,13.725490196078432
1693759303.775367,1387.0,44,0.625,-1.5625,23.529411764705884,37,14.901960784313726
1693759305.272293,1241.0,65,0.095,3.90625,40.392156862745104,37,19.215686274509807
1693759306.743381,2003.0,57,0.775,0.0,34.90196078431373,37,8.627450980392158
1693759308.152386,2620.0,29,0.05,-0.78125,17.647058823529413,37,8.627450980392158
1693759309.624776,1444.0,36,0.07,3.90625,25.098039215686278,37,16.07843137254902
1693759311.093169,1562.0,54,0.875,3.90625,22.35294117647059,37,16.07843137254902
1693759312.5953,1853.0,53,0.84,-0.78125,28.23529411764706,37,14.11764705882353
1693759314.032717,2045.0,40,0.06,1.5625,20.784313725490197,37,14.11764705882353
1693759315.502586,2143.0,40,0.245,5.46875,20.784313725490197,37,15.686274509803923
1693759317.002683,2279.0,51,0.17,5.46875,33.333333333333336,37,20.784313725490197
1693759318.473266,2638.0,64,0.2,4.6875,42.352941176470594,37,23.529411764705884
1693759319.943598,3057.0,50,0.9,-1.5625,17.647058823529413,37,8.627450980392158
1693759321.443489,2301.0,30,0.0,0.0,17.647058823529413,37,16.47058823529412
1693759322.883104,1936.0,52,0.825,0.78125,29.80392156862745,37,16.862745098039216
1693759324.355637,2030.0,51,0.105,1.5625,28.23529411764706,37,16.862745098039216
1693759325.793082,2123.0,50,0.72,0.78125,28.23529411764706,37,13.333333333333334
1693759327.293041,2204.0,37,0.695,-3.90625,17.647058823529413,37,8.627450980392158
1693759328.762883,2125.0,27,0.0,0.0,17.647058823529413,37,8.627450980392158
1693759330.203536,2010.0,27,0.0,0.0,17.647058823529413,38,8.627450980392158
1693759331.733161,1241.0,41,0.905,0.78125,17.647058823529413,38,8.627450980392158
1693759333.203064,963.0,46,0.065,0.78125,22.35294117647059,38,8.627450980392158
1693759334.673133,1000.0,45,0.61,-3.125,22.35294117647059,38,8.627450980392158
1693759336.143683,983.0,47,0.8,0.0,23.529411764705884,38,8.627450980392158
1693759337.583809,953.0,48,0.065,1.5625,22.35294117647059,38,8.627450980392158
1693759339.023285,964.0,48,0.09,0.0,23.529411764705884,38,8.627450980392158
1693759340.523127,978.0,47,0.07,-1.5625,23.529411764705884,38,8.627450980392158
1693759342.023208,977.0,43,0.85,-4.6875,22.35294117647059,38,8.627450980392158
1693759343.43334,931.0,43,0.07,0.0,20.784313725490197,38,8.627450980392158
1693759344.875892,934.0,43,0.29,-4.6875,22.35294117647059,38,8.627450980392158
1693759346.313086,929.0,43,0.855,-2.34375,20.784313725490197,38,8.627450980392158
1693759347.753778,913.0,43,0.055,0.0,20.784313725490197,38,8.627450980392158
1693759349.223321,936.0,43,0.79,-6.25,22.35294117647059,38,8.627450980392158
1693759350.698143,928.0,43,0.605,3.125,20.784313725490197,38,8.627450980392158
1693759352.164784,919.0,43,0.055,-3.125,22.35294117647059,38,8.627450980392158
1693759353.603646,919.0,43,0.835,-3.125,20.784313725490197,38,8.627450980392158
1693759355.103693,926.0,43,0.41,2.34375,20.784313725490197,38,8.627450980392158
1693759356.543551,931.0,42,0.775,-9.375,22.35294117647059,38,8.627450980392158
1693759358.013522,937.0,43,0.78,-3.90625,20.784313725490197,38,8.627450980392158
1693759359.485578,914.0,43,0.04,-7.03125,22.35294117647059,38,8.627450980392158
1693759360.923399,935.0,43,0.865,-6.25,20.784313725490197,38,8.627450980392158
1693759362.393652,920.0,43,0.06,-6.25,22.35294117647059,38,8.627450980392158
1693759363.863731,932.0,42,0.82,-10.9375,20.784313725490197,38,8.627450980392158
1693759365.334,925.0,43,0.725,0.0,20.784313725490197,38,8.627450980392158
1693759366.805189,896.0,43,0.205,-7.03125,22.35294117647059,38,8.627450980392158
1693759368.304002,945.0,43,0.865,-7.03125,20.784313725490197,38,8.627450980392158
1693759369.774945,917.0,43,0.05,-5.46875,20.784313725490197,38,8.627450980392158
1693759371.243889,935.0,42,0.775,-10.9375,20.784313725490197,38,8.627450980392158
1693759372.713525,932.0,42,0.835,-7.03125,22.35294117647059,38,8.627450980392158
1693759374.183745,926.0,44,0.07,-4.6875,20.784313725490197,38,8.627450980392158
