TIME,Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693757895.552446,2952.0,0.17,3.90625
1693757896.031513,2949.0,0.3,0.78125
1693757896.511772,2948.0,0.855,1.5625
1693757896.991556,2946.0,0.105,2.34375
1693757897.472795,2954.0,0.745,-2.34375
1693757897.95192,2954.0,0.83,-2.34375
1693757898.431937,2961.0,0.11,1.5625
1693757898.912173,2961.0,0.815,-0.78125
1693757899.421931,2957.0,0.24,4.6875
1693757899.902267,2962.0,0.685,-2.34375
1693757900.382381,2967.0,0.74,4.6875
1693757900.862347,2964.0,0.11,1.5625
1693757901.342437,2975.0,0.57,-0.78125
1693757901.852372,2971.0,0.81,1.5625
1693757902.332567,2963.0,0.83,3.90625
1693757902.812232,2963.0,0.295,-1.5625
1693757903.322395,2963.0,0.095,4.6875
1693757903.832554,2962.0,0.655,0.78125
1693757904.312598,2966.0,0.81,4.6875
1693757904.792373,2970.0,0.145,6.25
1693757905.27178,2977.0,0.25,3.90625
1693757905.753016,2980.0,0.835,0.78125
1693757906.231607,2984.0,0.09,2.34375
1693757906.712361,2979.0,0.09,2.34375
1693757907.192544,2976.0,0.825,2.34375
1693757907.672204,2982.0,0.135,4.6875
1693757908.153705,2984.0,0.61,0.78125
1693757908.633095,2987.0,0.805,3.90625
1693757909.111994,2981.0,0.11,4.6875
1693757909.592235,2984.0,0.485,0.0
1693757910.071919,2981.0,0.83,3.125
1693757910.552731,2980.0,0.085,3.90625
1693757911.061758,2975.0,0.765,0.78125
1693757911.542454,2966.0,0.76,6.25
1693757912.023311,2960.0,0.14,3.90625
1693757912.50207,2956.0,0.31,1.5625
1693757912.982493,2954.0,0.825,3.125
1693757913.461905,2941.0,0.14,3.90625
1693757913.974549,2941.0,0.205,3.125
1693757914.452383,2940.0,0.8,1.5625
1693757914.962318,2935.0,0.82,5.46875
1693757915.442441,2935.0,0.125,5.46875
1693757915.922371,2933.0,0.48,0.0
1693757916.401796,2931.0,0.895,1.5625
1693757916.882066,2927.0,0.69,-5.46875
1693757917.362107,2929.0,0.615,1.5625
1693757917.842862,2927.0,0.09,3.90625
1693757918.351846,2921.0,0.235,3.125
1693757918.862093,2927.0,0.47,9.375
1693757919.341906,2919.0,0.77,1.5625
1693757919.822114,2917.0,0.79,7.03125
1693757920.331815,2913.0,0.155,6.25
1693757920.842631,2919.0,0.07,7.8125
1693757921.381507,2918.0,0.8,7.03125
1693757921.861294,2923.0,0.415,11.71875
1693757922.371613,2919.0,0.105,9.375
1693757922.882045,2925.0,0.76,7.03125
1693757923.36348,2923.0,0.415,13.28125
1693757923.842394,2930.0,0.12,10.15625
1693757924.322896,2935.0,0.81,9.375
1693757924.832861,2933.0,0.65,14.0625
1693757925.312223,2941.0,0.13,10.9375
1693757925.792778,2945.0,0.835,7.8125
1693757926.302267,2947.0,0.24,3.90625
1693757926.782563,2947.0,0.83,3.90625
1693757927.262513,2946.0,0.135,7.8125
1693757927.742646,2946.0,0.38,2.34375
1693757928.252338,2943.0,0.865,4.6875
1693757928.732319,2933.0,0.755,-1.5625
1693757929.212238,2927.0,0.705,2.34375
1693757929.693367,2915.0,0.645,-5.46875
1693757930.203431,2922.0,0.11,3.125
1693757930.683272,2919.0,0.76,0.0
1693757931.162733,2925.0,0.405,6.25
1693757931.643611,2929.0,0.33,1.5625
1693757932.152666,2929.0,0.21,7.8125
1693757932.634055,2932.0,0.175,5.46875
1693757933.11335,2939.0,0.8,4.6875
1693757933.593252,2946.0,0.575,9.375
1693757934.10418,2960.0,0.115,7.8125
1693757934.613183,2957.0,0.41,2.34375
1693757935.09287,2969.0,0.725,3.90625
1693757935.573682,2979.0,0.83,3.125
1693757936.052719,2984.0,0.215,6.25
1693757936.533971,2990.0,0.16,3.90625
1693757937.012499,2992.0,0.79,2.34375
1693757937.492659,3007.0,0.54,7.03125
1693757938.006276,3017.0,0.11,3.90625
1693757938.515317,3030.0,0.74,0.78125
1693757938.99266,3039.0,0.86,0.78125
1693757939.473263,3039.0,0.31,-3.125
1693757939.952992,3025.0,0.625,3.125
1693757940.433467,3033.0,0.1,3.125
1693757940.912633,3033.0,0.66,-1.5625
1693757941.392714,3032.0,0.83,1.5625
1693757941.903902,3032.0,0.12,2.34375
1693757942.382188,3038.0,0.825,-3.125
1693757942.862344,3036.0,0.075,-3.90625
1693757943.342464,3029.0,0.625,2.34375
1693757943.822787,3027.0,0.115,3.125
1693757944.333843,3029.0,0.34,0.78125
1693757944.812846,3032.0,0.78,-1.5625
1693757945.323716,3043.0,0.825,0.78125
1693757945.833031,3041.0,0.13,2.34375
1693757946.312913,3051.0,0.625,-3.90625
1693757946.792464,3054.0,0.82,-2.34375
1693757947.272634,3064.0,0.385,0.78125
1693757947.78265,3073.0,0.13,-1.5625
1693757948.32234,3079.0,0.845,-5.46875
1693757948.802689,3079.0,0.86,-10.9375
1693757949.282517,3071.0,0.08,3.90625
1693757949.76301,3067.0,0.785,-0.78125
1693757950.242569,3070.0,0.135,2.34375
1693757950.753031,3069.0,0.37,-3.90625
1693757951.234344,3070.0,0.77,0.78125
1693757951.71299,3073.0,0.125,1.5625
1693757952.192575,3074.0,0.415,-4.6875
1693757952.674208,3079.0,0.475,3.90625
1693757953.18335,3085.0,0.32,-1.5625
1693757953.662987,3088.0,0.825,-0.78125
1693757954.142551,3095.0,0.105,0.78125
1693757954.623264,3104.0,0.59,-3.90625
1693757955.102486,3104.0,0.81,-0.78125
1693757955.582922,3112.0,0.125,-0.78125
1693757956.093643,3116.0,0.78,-5.46875
1693757956.572901,3121.0,0.7,0.0
1693757957.082637,3117.0,0.095,-1.5625
1693757957.562585,3113.0,0.235,-3.125
1693757958.042673,3119.0,0.845,3.90625
1693757958.522544,3130.0,0.31,-2.34375
1693757959.003183,3143.0,0.825,0.0
1693757959.512617,3153.0,0.1,1.5625
1693757959.992779,3163.0,0.3,-0.78125
1693757960.473735,3174.0,0.835,0.0
1693757960.982751,3185.0,0.25,3.90625
1693757961.492585,3194.0,0.1,2.34375
1693757962.004249,3202.0,0.845,-1.5625
1693757962.483903,3206.0,0.355,-9.375
1693757962.962638,3204.0,0.06,0.78125
1693757963.442942,3193.0,0.815,1.5625
1693757963.922817,3191.0,0.83,1.5625
1693757964.432646,3185.0,0.83,0.78125
1693757964.94282,3174.0,0.79,3.90625
1693757965.423172,3182.0,0.145,2.34375
1693757965.902745,3179.0,0.635,-3.125
1693757966.353516,3181.0,0.83,0.0
1693757966.893329,3177.0,0.125,0.78125
1693757967.374367,3171.0,0.345,-3.125
1693757967.853699,3177.0,0.84,-3.125
1693757968.36368,3171.0,0.1,-0.78125
1693757968.842762,3169.0,0.6,-5.46875
1693757969.3542,3162.0,0.83,-2.34375
1693757969.833414,3173.0,0.695,0.78125
1693757970.316567,3167.0,0.095,-2.34375
1693757970.792863,3162.0,0.785,-3.90625
1693757971.27313,3158.0,0.395,1.5625
1693757971.752686,3150.0,0.1,-1.5625
1693757972.262719,3159.0,0.785,-3.125
1693757972.77333,3154.0,0.78,2.34375
1693757973.252825,3162.0,0.085,0.0
1693757973.732896,3155.0,0.765,-3.90625
1693757974.213116,3158.0,0.81,2.34375
1693757974.692671,3161.0,0.09,-0.78125
1693757975.173046,3149.0,0.77,-3.125
1693757975.653121,3154.0,0.705,2.34375
1693757976.16299,3150.0,0.095,0.0
1693757976.643583,3151.0,0.575,-3.90625
1693757977.123566,3153.0,0.825,0.0
1693757977.602799,3157.0,0.105,1.5625
1693757978.113359,3154.0,0.345,-0.78125
1693757978.592915,3150.0,0.815,-0.78125
1693757979.072818,3158.0,0.715,3.90625
1693757979.552878,3153.0,0.105,3.90625
1693757980.033154,3162.0,0.47,-1.5625
1693757980.513313,3165.0,0.815,0.0
1693757981.022365,3169.0,0.805,4.6875
