TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693756705.01533,4047.0,22,0.0,0.0
1693756705.734502,3735.0,22,0.0,0.0
1693756706.454029,3436.0,23,0.0,0.0
1693756707.173926,3117.0,25,0.0,0.0
1693756707.893587,2813.0,28,0.0,0.0
1693756708.644775,2584.0,28,0.0,0.0
1693756709.334374,2638.0,29,0.0,0.0
1693756710.056399,3211.0,34,0.085,6.25
1693756710.864738,3466.0,70,0.085,7.8125
1693756711.645098,3546.0,82,0.11,9.375
1693756712.364538,3713.0,91,0.85,5.46875
1693756713.14484,3878.0,92,0.83,2.34375
1693756713.864583,4063.0,92,0.745,-0.78125
1693756714.644685,4240.0,92,0.11,2.34375
1693756715.394623,4417.0,92,0.8,5.46875
1693756716.144757,4590.0,92,0.82,0.0
1693756716.894156,4777.0,58,0.935,-3.90625
1693756717.615525,4496.0,22,0.0,0.0
1693756718.334639,3426.0,92,0.84,3.90625
1693756719.085341,3498.0,93,0.815,0.78125
1693756719.805182,3577.0,94,0.39,-2.34375
1693756720.555036,3651.0,93,0.12,1.5625
1693756721.275167,3720.0,93,0.42,2.34375
1693756721.99471,3799.0,93,0.815,-1.5625
1693756722.714624,3876.0,94,0.365,-3.90625
1693756723.43494,3939.0,89,0.09,1.5625
1693756724.215465,4009.0,88,0.12,3.90625
1693756724.934773,4067.0,86,0.81,6.25
1693756725.655201,4135.0,87,0.69,0.78125
1693756726.375354,4197.0,87,0.13,4.6875
1693756727.095109,4261.0,86,0.815,7.03125
1693756727.845614,4318.0,82,0.6,0.78125
1693756728.595185,4378.0,83,0.195,6.25
1693756729.345272,4438.0,81,0.85,1.5625
1693756730.065068,4470.0,62,0.775,-0.78125
1693756730.784796,4486.0,80,0.605,-0.78125
1693756731.50499,4543.0,82,0.125,3.125
1693756732.255033,4587.0,84,0.825,4.6875
1693756732.976138,4638.0,84,0.785,-0.78125
1693756733.695402,4685.0,85,0.145,1.5625
1693756734.414978,4732.0,86,0.245,4.6875
1693756735.135297,4786.0,87,0.825,1.5625
1693756735.886121,4839.0,65,0.935,-2.34375
1693756736.635295,4774.0,22,0.0,0.0
1693756737.355119,4690.0,21,0.0,0.0
1693756738.104835,4529.0,21,0.0,0.0
1693756738.795539,4155.0,21,0.0,0.0
1693756739.574882,3682.0,22,0.0,0.0
1693756740.295195,3247.0,24,0.0,0.0
1693756741.014904,2926.0,27,0.0,0.0
1693756741.735003,2660.0,93,0.785,0.0
1693756742.454812,3175.0,31,0.83,0.78125
1693756743.174949,3759.0,74,0.68,-0.78125
1693756743.925198,3854.0,82,0.77,0.78125
1693756744.644779,3994.0,91,0.835,4.6875
1693756745.366053,4137.0,93,0.295,0.78125
1693756746.175051,4333.0,93,0.115,3.90625
1693756746.896073,4502.0,92,0.835,1.5625
1693756747.64524,4664.0,90,0.775,-1.5625
1693756748.36614,4814.0,86,0.75,0.0
1693756749.08513,4954.0,85,0.12,3.125
1693756749.805073,5081.0,86,0.815,6.25
1693756750.525402,5190.0,84,0.68,-0.78125
1693756751.274954,5319.0,81,0.275,4.6875
1693756751.994804,5392.0,81,0.78,0.78125
1693756752.715254,5482.0,81,0.925,-2.34375
1693756753.43548,5169.0,23,0.0,0.0
1693756754.155635,3894.0,78,0.67,9.375
1693756754.877855,3964.0,93,0.17,3.125
1693756755.595282,4037.0,93,0.805,0.78125
1693756756.315737,4103.0,91,0.295,1.5625
1693756757.067172,4171.0,91,0.53,6.25
1693756757.815826,4223.0,91,0.72,0.78125
1693756758.535703,4291.0,91,0.115,3.90625
1693756759.287668,4353.0,91,0.81,6.25
1693756760.035787,4422.0,91,0.585,-0.78125
1693756760.785576,4491.0,91,0.795,3.90625
1693756761.536821,4478.0,22,0.845,0.0
1693756762.256839,3536.0,25,0.0,0.0
1693756763.005706,3628.0,70,0.115,9.375
1693756763.725359,3571.0,88,0.19,6.25
1693756764.445809,3595.0,88,0.81,3.125
1693756765.19651,3613.0,76,0.805,0.78125
1693756765.916325,3623.0,71,0.17,0.78125
1693756766.694789,3627.0,80,0.835,0.0
1693756767.415994,3616.0,29,0.865,-10.9375
1693756768.165446,3565.0,31,0.05,0.0
1693756768.915949,3534.0,40,0.835,2.34375
1693756769.636133,3505.0,23,0.845,0.0
1693756770.416081,3455.0,23,0.0,0.0
1693756771.135321,3397.0,23,0.0,0.0
1693756771.825484,3322.0,23,0.0,0.0
1693756772.545497,3197.0,24,0.0,0.0
1693756773.26546,3004.0,26,0.0,0.0
1693756773.985819,2797.0,28,0.0,0.0
1693756774.735576,2569.0,28,0.0,0.0
1693756775.426035,2448.0,49,0.865,-1.5625
1693756776.145865,3359.0,30,0.0,0.0
1693756776.896009,2890.0,85,0.695,8.59375
1693756777.615382,2979.0,92,0.115,12.5
1693756778.365419,3054.0,93,0.595,6.25
1693756779.085575,3134.0,93,0.45,2.34375
1693756779.805682,3216.0,90,0.815,-0.78125
1693756780.526071,3244.0,27,0.845,-9.375
1693756781.246009,3216.0,26,0.0,0.0
1693756781.996088,3090.0,26,0.0,0.0
1693756782.746225,3713.0,23,0.0,0.0
1693756783.465664,4065.0,22,0.0,0.0
1693756784.186042,4006.0,23,0.04,3.125
1693756784.935748,3981.0,81,0.9,6.25
1693756785.686016,4030.0,22,0.16,0.0
1693756786.405471,3937.0,22,0.0,0.0
1693756787.126351,3834.0,22,0.0,0.0
1693756787.845672,3715.0,22,0.0,0.0
1693756788.566224,3549.0,22,0.0,0.0
1693756789.286335,3383.0,23,0.0,0.0
1693756790.036057,3204.0,24,0.0,0.0
1693756790.786104,2993.0,26,0.0,0.0
1693756791.505526,2796.0,28,0.0,0.0
1693756792.226093,2565.0,28,0.0,0.0
1693756792.94595,2386.0,84,0.81,-1.5625
1693756793.695697,3809.0,25,0.0,0.0
1693756794.415889,3362.0,24,0.0,0.0
1693756795.136132,3064.0,26,0.0,0.0
1693756795.856404,2747.0,28,0.0,0.0
1693756796.576296,2504.0,27,0.0,0.0
1693756797.327294,2306.0,34,0.01,2.34375
1693756798.045999,2310.0,45,0.095,7.03125
1693756798.766383,2278.0,32,0.865,2.34375
1693756799.488695,2216.0,34,0.045,3.90625
1693756800.235674,2263.0,54,0.765,4.6875
1693756800.986008,2474.0,84,0.05,8.59375
1693756801.706345,2874.0,93,0.87,13.28125
1693756802.426285,3316.0,93,0.775,2.34375
1693756803.146396,3743.0,92,0.525,-0.78125
1693756803.896935,4192.0,91,0.1,5.46875
1693756804.645899,4615.0,91,0.47,4.6875
1693756805.396997,5068.0,91,0.75,0.0
1693756806.146582,5455.0,91,0.11,3.90625
1693756806.866491,5818.0,91,0.83,4.6875
1693756807.586473,6143.0,90,0.715,-3.125
1693756808.306106,6378.0,27,0.03,0.0
1693756809.056191,5068.0,23,0.0,0.0
1693756809.776176,3960.0,30,0.065,5.46875
1693756810.497237,3994.0,34,0.88,-0.78125
1693756811.276219,3989.0,22,0.0,0.0
1693756811.996406,3860.0,22,0.0,0.0
1693756812.746759,3758.0,22,0.0,0.0
1693756813.466983,3720.0,42,0.86,8.59375
1693756814.187032,3660.0,22,0.81,0.0
1693756814.906736,3531.0,23,0.0,0.0
1693756815.657089,3411.0,23,0.0,0.0
1693756816.406559,3391.0,44,0.365,8.59375
1693756817.12649,3322.0,26,0.835,0.0
1693756817.846283,3258.0,24,0.0,0.0
1693756818.566457,2400.0,29,0.0,0.0
1693756819.316273,2289.0,27,0.0,0.0
1693756820.036928,2308.0,50,0.825,1.5625
1693756820.786778,2245.0,28,0.75,-2.34375
1693756821.507046,2161.0,26,0.055,0.0
1693756822.226836,1695.0,37,0.035,3.125
1693756822.976426,1375.0,39,0.81,3.125
1693756823.696946,1212.0,41,0.89,0.78125
1693756824.446696,1248.0,37,0.82,-1.5625
1693756825.167947,1654.0,31,0.85,-3.90625
1693756825.886995,1537.0,32,0.7,-6.25
1693756826.607079,1376.0,43,0.04,-2.34375
1693756827.326516,1307.0,50,0.05,0.78125
1693756828.10715,1288.0,64,0.27,4.6875
1693756828.857301,1373.0,62,0.11,4.6875
1693756829.607091,1460.0,63,0.08,5.46875
1693756830.327278,1581.0,74,0.15,6.25
1693756831.107301,1817.0,83,0.075,5.46875
1693756831.886873,2195.0,93,0.535,6.25
1693756832.63704,2634.0,93,0.85,12.5
1693756833.357327,3090.0,92,0.785,3.125
1693756834.077036,3518.0,92,0.78,0.78125
1693756834.829557,4030.0,89,0.125,6.25
1693756835.607311,4404.0,87,0.83,3.90625
1693756836.357318,4845.0,86,0.665,0.0
1693756837.106314,5180.0,86,0.15,4.6875
1693756837.827864,5511.0,86,0.83,3.125
1693756838.576696,5823.0,87,0.135,3.125
1693756839.297739,6127.0,86,0.835,-0.78125
1693756840.046833,6329.0,27,0.22,0.0
1693756840.767447,5187.0,23,0.0,0.0
1693756841.490069,3918.0,23,0.025,2.34375
1693756842.207347,3908.0,78,0.855,7.8125
1693756842.927048,4009.0,65,0.16,1.5625
1693756843.677199,4067.0,25,0.0,0.0
1693756844.397349,2896.0,31,0.0,0.0
1693756845.11713,2789.0,37,0.04,3.125
1693756845.897545,2754.0,47,0.87,0.78125
1693756846.647001,2731.0,29,0.825,-5.46875
1693756847.397463,2685.0,29,0.0,0.0
1693756848.116977,2604.0,29,0.0,0.0
1693756848.867217,2485.0,28,0.0,0.0
1693756849.587239,2328.0,27,0.0,0.0
1693756850.306961,2182.0,93,0.91,0.0
1693756851.087543,2981.0,28,0.0,0.0
1693756851.806951,2839.0,29,0.0,0.0
1693756852.527472,2554.0,28,0.0,0.0
1693756853.277807,2226.0,27,0.0,0.0
1693756853.997635,2034.0,28,0.0,0.0
1693756854.747818,1917.0,48,0.045,3.90625
1693756855.467687,1954.0,49,0.81,1.5625
1693756856.188144,1964.0,35,0.845,-3.125
1693756856.937345,2719.0,31,0.0,0.0
1693756857.658518,2781.0,30,0.0,0.0
1693756858.377114,2648.0,41,0.035,5.46875
1693756859.12698,2803.0,94,0.105,14.0625
1693756859.847787,3233.0,93,0.825,4.6875
1693756860.56709,3709.0,93,0.82,0.78125
1693756861.318201,4171.0,92,0.715,0.78125
1693756862.039139,4537.0,92,0.88,0.0
1693756862.787289,4970.0,92,0.86,0.0
1693756863.538075,5388.0,92,0.395,-5.46875
1693756864.317508,5765.0,90,0.295,0.78125
1693756865.037498,6083.0,90,0.245,3.125
1693756865.757333,6345.0,76,0.905,-10.9375
1693756866.507887,6313.0,29,0.0,0.0
1693756867.257964,6044.0,25,0.0,0.0
1693756868.008159,5330.0,22,0.0,0.0
1693756868.727159,3784.0,22,0.0,0.0
1693756869.447794,3580.0,22,0.0,0.0
1693756870.197313,3474.0,22,0.0,0.0
1693756870.917768,3359.0,23,0.0,0.0
1693756871.63785,3248.0,23,0.0,0.0
1693756872.387902,3134.0,33,0.04,3.90625
1693756873.137738,3135.0,40,0.815,6.25
1693756873.858038,3090.0,40,0.82,5.46875
1693756874.608423,3066.0,39,0.73,9.375
1693756875.357956,3064.0,29,0.885,3.125
1693756876.077644,3028.0,25,0.0,0.0
1693756876.797259,2923.0,28,0.0,0.0
1693756877.551332,2813.0,43,0.05,5.46875
